team,passes,shots,pressures,carries,xg,average_pass_length,ppda,avg_pass_angle_deep,avg_pass_angle_mid,avg_pass_angle_final
Germany,680.4,19.0,141.4,589.4,1.7451401694799997,18.2386587552001,2.4843217707385623,-0.04462193725711883,0.05192535260214853,-0.7275303685494037
Hungary,408.6666666666667,10.333333333333334,176.33333333333334,286.0,1.1106306666666665,21.98258052541841,2.5025968973510775,-0.0753993609640281,-0.26761840853652696,0.10955319024694521
Italy,625.75,11.25,147.0,523.25,0.8260620707499999,18.631290769913505,3.2147363206229485,0.0439334360108114,0.012975161696428483,2.3354392033461693
Jamaica,381.3333333333333,9.333333333333334,110.33333333333333,285.6666666666667,0.702830348,24.102249255647262,2.3575863678804856,0.15275288689274116,0.041418670805945156,0.37050470589746975
Mexico,516.3333333333334,19.333333333333332,132.33333333333334,391.3333333333333,1.4860098433333333,21.061297935804102,1.9729118113959536,0.053106859907795644,-0.27028471286853833,-0.46875131383835883
Netherlands,519.5,13.833333333333334,108.0,421.1666666666667,1.2197474766666667,19.808071637389837,3.0777778460312,0.005547847276258862,-0.07275131214698703,-1.0313120361827577
Panama,450.75,12.5,118.5,363.75,0.805545503075,22.810936343214536,2.701787250069693,0.12818345975285064,-0.006923611700789992,-0.17904645866623403
Paraguay,427.0,14.333333333333334,157.66666666666666,341.6666666666667,0.9864450799666667,21.786090251620113,2.2598264248170463,-0.061817548521750136,-0.3804519986722765,0.3286815368358333
Peru,326.6666666666667,7.666666666666667,158.66666666666666,234.33333333333334,0.4734456401666667,23.956194944743448,2.601064191486468,-0.0027862792478703016,0.10544743833307474,0.904848292272349
Poland,396.6666666666667,12.333333333333334,157.33333333333334,325.6666666666667,1.1750457664333334,19.21135230683721,2.207284669179693,-0.07136008140696837,0.1645003529132562,0.30344865092547174
Portugal,774.0,19.0,129.6,659.0,2.9418688635400003,18.915914211294087,2.535421994884911,-0.1004777915260157,0.05257527546856729,0.6348228429798729
Romania,336.75,9.5,137.5,243.5,0.93918187725,23.01769044407714,2.8513778314103067,-0.1201242140765631,0.10004691870168038,-0.08833613415474967
Scotland,410.6666666666667,5.666666666666667,137.0,301.3333333333333,0.338647919,22.434817326143413,2.713863564257265,0.10875879201051301,-0.36287676943980074,0.8369745431781391
Serbia,558.6666666666666,8.666666666666666,129.0,442.3333333333333,0.6783928223333334,21.278711453908628,3.0464991226580636,-0.05719933734907028,0.09275861266812878,0.3525476042877657
Slovakia,501.5,12.5,133.25,383.25,0.956472450225,21.718779996628054,3.4713637041375565,-0.07842372565705011,-0.21501894414965333,0.3348337147401096
Slovenia,344.0,10.0,184.25,250.0,1.437377600075,23.401664368661514,2.6060196430900087,0.02231371942098083,-0.13488725735101073,-1.7318483978681962
Spain,619.2857142857143,17.571428571428573,161.14285714285714,531.5714285714286,1.5106386391714286,19.92920947051249,2.6510019050805815,0.03461080630601769,-0.009801267968382488,0.6732893316157139
Switzerland,509.6,12.4,165.2,422.0,1.6967543283999997,19.699792185600284,2.7757257904819177,0.04179055015612057,-0.0035908140151139035,-0.9505732304889708
Turkey,489.0,14.4,126.2,402.8,1.2929245917399999,20.42720118347072,2.7400443482096315,0.06150485756197739,-0.0338758524798714,-1.1923293179046204
Ukraine,497.0,13.333333333333334,139.66666666666666,418.3333333333333,0.9947670916,21.25729696801961,2.578844637460909,-0.09512184813004661,-0.024698056208050906,-0.7340692088886623
United States,395.0,11.333333333333334,120.33333333333333,272.6666666666667,1.2633197659999997,24.98790313741324,2.716665701611321,0.08143668310666628,0.21536433255131052,0.5219538688981589
Uruguay,406.6666666666667,15.666666666666666,164.5,321.3333333333333,2.484375147616667,23.116903320148754,1.691582757052531,-0.09465918388606692,-0.06991844778879361,-0.3160095617012694
Venezuela,456.0,15.5,131.0,336.0,2.515281953175,22.587498187005345,2.2900095276847696,-0.08802235275346969,-0.08434806662167757,0.8598962273269086
